Year,Score,Title,toto
1968.0,86,Greetings,
1970.0,17,Bloody Mama,
1970.0,73,"Hi, Mom!",
1971.0,40,Born to Win,
1973.0,98,Mean Streets,
1973.0,88,Bang the Drum Slowly,
1974.0,97,"The Godfather, Part II",
1976.0,41,The Last Tycoon,
1976.0,99,Taxi Driver,
1977.0,47,1900,
1977.0,67,"New York, New York",
1978.0,93,The Deer Hunter,
1980.0,97,Raging Bull,
1981.0,75,True Confessions,
1983.0,90,The King of Comedy,
1984.0,89,Once Upon a Time in America,
1984.0,60,Falling in Love,
1985.0,98,Brazil,
1986.0,65,The Mission,
1987.0,100,Dear America: Letters Home From Vietnam,
1987.0,80,The Untouchables,
1987.0,78,Angel Heart,
1988.0,96,Midnight Run,
1989.0,64,Jacknife,
1989.0,47,We're No Angels,
1990.0,88,Awakenings,
1990.0,29,Stanley & Iris,
1990.0,96,Goodfellas,
1991.0,76,Cape Fear,
1991.0,69,Mistress,
1991.0,65,Guilty by Suspicion,
1991.0,71,Backdraft,
1992.0,87,Thunderheart,
1992.0,67,Night and the City,
1993.0,75,This Boy's Life,
1993.0,78,Mad Dog and Glory,
1993.0,96,A Bronx Tale,
1994.0,39,Mary Shelley's Frankenstein,
1995.0,80,Casino,
1995.0,86,Heat,
1996.0,74,Sleepers,
1996.0,38,The Fan,
1996.0,80,Marvin's Room,
1997.0,85,Wag the Dog,
1997.0,87,Jackie Brown,
1997.0,72,Cop Land,
1998.0,68,Ronin,
1998.0,38,Great Expectations,
1999.0,69,Analyze This,
1999.0,43,Flawless,
2000.0,43,The Adventures of Rocky & Bullwinkle,
2000.0,84,Meet the Parents,
2000.0,41,Men of Honor,
2001.0,73,The Score,
2001.0,33,15 Minutes,
2002.0,48,City by the Sea,
2002.0,27,Analyze That,
2003.0,4,Godsend,
2004.0,35,Shark Tale,
2004.0,38,Meet the Fockers,
2005.0,4,The Bridge of San Luis Rey,
2005.0,46,Rent,
2005.0,13,Hide and Seek,
2006.0,54,The Good Shepherd,
2007.0,21,Arthur and the Invisibles,
2007.0,76,Captain Shakespeare,
2008.0,19,Righteous Kill,
2008.0,51,What Just Happened?,
2009.0,46,Everybody's Fine,
2010.0,72,Machete,
2010.0,10,Little Fockers,
2010.0,50,Stone,
2011.0,25,Killer Elite,
2011.0,7,New Year's Eve,
2011.0,70,Limitless,
2012.0,92,Silver Linings Playbook,
2012.0,51,Being Flynn,
2012.0,29,Red Lights,
2013.0,46,Last Vegas,
2013.0,7,The Big Wedding,
2013.0,29,Grudge Match,
2013.0,11,Killing Season,
2014.0,9,The Bag Man,
2015.0,60,Joy,
2015.0,26,Heist,
2015.0,61,The Intern,
2016.0,11,Dirty Grandpa,
,17.0,Bloody Mama,test2
,73.0,"Hi, Mom!",test2
,test,test,
,,,
